Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,61.189999,61.52,60.639999,61.240002,6585900,50.218663
2010-01-05,61.0,62.099998,60.900002,61.98,8886000,50.825483
2010-01-06,61.990002,62.470001,61.23,61.360001,9998000,50.317065
2010-01-07,61.349998,61.380001,60.529999,60.970001,10792000,49.997254
2010-01-08,60.759998,60.82,60.27,60.77,8674700,49.833247
2010-01-11,60.68,60.810001,60.099998,60.700001,6461200,49.775845
2010-01-12,60.52,61.68,60.5,61.549999,9081800,50.47287
2010-01-13,61.41,62.34,61.41,62.049999,7380100,50.882885
2010-01-14,62.02,62.919998,61.759998,62.799999,7211600,51.497908
2010-01-15,62.610001,62.91,61.82,62.290001,8361200,51.079694
2010-01-19,62.23,62.41,61.970001,62.330002,5615800,51.112496
2010-01-20,62.09,62.150002,61.439999,61.950001,5606000,50.800883
2010-01-21,62.009998,62.16,60.740002,60.939999,7121500,49.972651
2010-01-22,60.75,61.240002,60.310001,60.389999,7229000,49.521635
2010-01-25,60.700001,60.700001,60.080002,60.23,4903800,49.39043
2010-01-26,60.099998,60.529999,59.82,60.25,5001700,49.406831
2010-01-27,60.049999,60.389999,59.599998,60.290001,6145900,49.439633
2010-01-28,60.299999,60.5,59.5,59.740002,9285900,48.988617
2010-01-29,59.84,60.360001,59.119999,59.619999,8127200,48.890211
2010-02-01,59.93,60.75,59.52,60.700001,7303200,49.775845
2010-02-02,60.68,61.279999,60.34,61.150002,6296700,50.14486
2010-02-03,60.919998,61.400002,60.560001,61.290001,4863000,50.259663
2010-02-04,60.830002,60.93,59.619999,59.639999,6920300,48.906612
2010-02-05,59.509998,59.790001,58.950001,59.509998,7347800,48.800007
2010-02-08,59.599998,59.66,58.75,58.959999,7047700,48.348991
2010-02-09,59.290001,60.48,59.290001,60.049999,7940200,49.242824
2010-02-10,59.959999,60.669998,59.509998,60.380001,10917200,49.513436
2010-02-11,60.869999,61.700001,60.5,61.189999,14391100,50.177659
2010-02-12,61.060001,61.220001,60.490002,60.919998,8566800,49.95625
2010-02-16,61.029999,61.450001,60.5,61.310001,6930800,50.276064
2010-02-17,61.48,62.200001,61.25,62.110001,6703500,50.932088
2010-02-18,61.970001,62.720001,61.970001,62.529999,6942900,51.276499
2010-02-19,62.32,62.919998,61.98,62.66,6416500,51.383104
2010-02-22,62.689999,62.869999,62.099998,62.41,4709500,51.178097
2010-02-23,62.220001,62.48,61.700001,61.779999,5159400,50.661477
2010-02-24,61.98,62.16,61.580002,62.080002,6888100,50.907488
2010-02-25,61.509998,62.34,61.02,62.299999,8074100,51.087893
2010-02-26,62.5,62.59,61.91,62.470001,14785800,51.2273
2010-03-01,62.650002,63.580002,62.470001,63.43,9016500,52.014528
2010-03-02,63.610001,64.0,63.419998,63.799999,9527200,52.317938
2010-03-03,63.82,64.269997,63.799999,63.98,8486300,52.838226
2010-03-04,64.43,64.5,63.959999,64.110001,7830600,52.945589
2010-03-05,64.300003,64.480003,63.91,64.370003,8448600,53.160313
2010-03-08,64.269997,64.459999,63.799999,64.150002,5086300,52.978624
2010-03-09,63.880001,64.650002,63.799999,64.360001,7655400,53.152052
2010-03-10,64.300003,64.589996,64.010002,64.43,6450000,53.209862
2010-03-11,64.199997,65.0,63.900002,64.970001,7536900,53.655825
2010-03-12,64.919998,65.25,64.68,65.099998,6896400,53.763184
2010-03-15,65.690002,66.260002,65.400002,66.150002,10468000,54.630334
2010-03-16,66.25,66.300003,65.830002,66.07,7474500,54.564264
2010-03-17,66.150002,66.580002,66.019997,66.57,6922300,54.977192
2010-03-18,66.57,66.730003,66.160004,66.519997,6961900,54.935897
2010-03-19,66.559998,66.980003,66.260002,66.559998,10947400,54.968932
2010-03-22,66.43,66.559998,66.150002,66.309998,6763000,54.762468
2010-03-23,66.389999,67.0,66.239998,66.860001,6412800,55.216691
2010-03-24,66.620003,67.0,66.25,66.260002,7661200,54.721179
2010-03-25,66.370003,67.0,66.349998,66.550003,6246600,54.960678
2010-03-26,66.639999,66.809998,66.339996,66.589996,5313400,54.993706
2010-03-29,66.610001,66.870003,66.300003,66.550003,6825600,54.960678
2010-03-30,66.519997,67.0,66.360001,66.769997,5733800,55.142361
2010-03-31,66.68,66.709999,66.059998,66.160004,8123900,54.638595
2010-04-01,66.32,66.68,66.25,66.68,5074100,55.068037
2010-04-05,66.68,66.68,65.830002,65.980003,6732600,54.48994
2010-04-06,65.790001,66.629997,65.790001,66.389999,6734700,54.828538
2010-04-07,66.389999,66.519997,65.75,65.989998,8204200,54.498194
2010-04-08,65.75,66.190002,65.620003,65.970001,6646300,54.48168
2010-04-09,65.93,66.43,65.860001,66.360001,4757700,54.803763
2010-04-12,66.349998,66.669998,66.260002,66.32,5074000,54.770728
2010-04-13,66.160004,66.5,66.019997,66.389999,5190800,54.828538
2010-04-14,66.199997,66.300003,65.830002,66.290001,5202300,54.745954
2010-04-15,65.970001,66.5,65.800003,66.269997,5968500,54.729433
2010-04-16,66.010002,66.650002,65.959999,66.139999,7374400,54.622074
2010-04-19,66.080002,66.389999,65.699997,66.120003,6354600,54.60556
2010-04-20,66.169998,66.400002,65.720001,65.900002,6780900,54.42387
2010-04-21,65.82,66.309998,65.610001,65.980003,6534300,54.48994
2010-04-22,65.75,65.790001,64.5,64.760002,9689700,53.482396
2010-04-23,64.849998,64.849998,64.169998,64.709999,9008900,53.441101
2010-04-26,64.839996,65.440002,64.610001,65.019997,8096900,53.697114
2010-04-27,64.93,65.199997,64.07,64.230003,8615300,53.044693
2010-04-28,64.279999,64.82,63.599998,64.75,10229300,53.474135
2010-04-29,64.949997,65.5,64.830002,65.199997,7714000,53.845768
2010-04-30,65.330002,65.980003,65.18,65.220001,8274200,53.862289
2010-05-03,65.279999,66.0,64.889999,65.690002,5807900,54.250442
2010-05-04,65.300003,65.980003,65.050003,65.43,8383100,54.035717
2010-05-05,65.099998,65.949997,65.019997,65.199997,7658800,53.845768
2010-05-06,65.160004,66.199997,61.91,64.699997,14046200,53.43284
2010-05-07,64.459999,65.040001,63.66,64.57,13221500,53.325481
2010-05-10,65.800003,66.489998,65.660004,66.410004,10833800,54.845058
2010-05-11,66.160004,67.0,66.019997,66.550003,7240800,54.960678
2010-05-12,67.239998,67.610001,66.809998,66.940002,13170400,55.282761
2010-05-13,67.019997,67.080002,66.459999,66.480003,7800500,54.902868
2010-05-14,66.410004,66.599998,65.769997,66.07,9731800,54.564264
2010-05-17,66.110001,66.959999,66.07,66.75,6943800,55.125846
2010-05-18,66.919998,67.300003,66.400002,66.529999,7237500,54.944157
2010-05-19,66.300003,66.379997,65.5,66.040001,7867800,54.53949
2010-05-20,65.230003,65.230003,63.860001,63.860001,11587400,52.739125
2010-05-21,63.209999,63.639999,62.139999,63.580002,14586400,52.507886
2010-05-24,63.09,64.010002,62.599998,63.32,6334000,52.293162
2010-05-25,61.93,62.919998,61.650002,62.889999,9156900,51.938044
2010-05-26,63.060001,63.060001,61.040001,61.23,15152900,50.567124
2010-05-27,61.970001,62.93,61.52,62.900002,9428400,51.946304
2010-05-28,62.919998,63.459999,62.73,62.889999,7546700,51.938044
2010-06-01,62.66,63.59,61.900002,62.759998,7180000,51.830682
2010-06-02,62.599998,63.459999,61.830002,63.459999,10023900,52.812704
2010-06-03,63.5,63.650002,63.0,63.369999,6448400,52.737804
2010-06-04,62.459999,62.459999,61.290001,61.439999,10309800,51.131619
2010-06-07,61.369999,62.560001,61.290001,61.73,7694100,51.372963
2010-06-08,61.439999,62.799999,61.400002,62.650002,7538300,52.138608
2010-06-09,62.860001,63.07,62.330002,62.490002,7056300,52.005453
2010-06-10,63.029999,63.900002,63.029999,63.84,6567800,53.128949
2010-06-11,63.5,63.560001,62.939999,63.560001,5466100,52.895928
2010-06-14,63.900002,64.230003,63.240002,63.849998,4941800,53.13727
2010-06-15,63.880001,64.290001,63.84,64.239998,6249100,53.461835
2010-06-16,63.790001,64.050003,63.560001,63.91,5960000,53.187204
2010-06-17,63.959999,64.559998,63.75,64.489998,5179300,53.66989
