Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,106.519997,109.620003,106.510002,109.559998,576300,99.894993
2010-01-05,109.589996,109.589996,108.379997,108.540001,681900,98.964977
2010-01-06,108.949997,110.57,108.220001,109.529999,1397500,99.867641
2010-01-07,109.25,110.349998,106.639999,107.290001,797200,97.825248
2010-01-08,106.800003,107.279999,105.900002,106.769997,432400,97.351117
2010-01-11,106.970001,108.150002,106.699997,107.650002,568400,98.153491
2010-01-12,106.599998,107.650002,102.959999,103.290001,948100,94.178114
2010-01-13,102.25,104.360001,102.25,103.080002,704100,93.98664
2010-01-14,103.32,104.769997,103.32,104.120003,954700,94.934896
2010-01-15,104.379997,104.480003,101.550003,102.110001,814600,93.102209
2010-01-19,102.690002,104.160004,101.599998,103.93,616400,94.761655
2010-01-20,102.849998,104.029999,101.970001,103.449997,411500,94.323996
2010-01-21,103.190002,106.260002,103.120003,103.370003,788700,94.251058
2010-01-22,103.199997,104.260002,98.669998,99.019997,1259200,90.284795
2010-01-25,99.760002,101.099998,99.099998,100.089996,550500,91.260403
2010-01-26,99.400002,100.190002,98.769997,99.459999,657900,90.685982
2010-01-27,98.900002,99.580002,97.82,99.25,713500,90.494508
2010-01-28,99.169998,99.169998,95.860001,97.760002,380100,89.135953
2010-01-29,98.120003,99.709999,96.0,96.230003,715000,87.740925
2010-02-01,96.690002,97.82,95.300003,95.849998,1243200,87.394443
2010-02-02,95.910004,97.239998,94.68,96.580002,1431100,88.060048
2010-02-03,96.519997,97.290001,95.279999,96.0,737000,87.531212
2010-02-04,95.330002,95.75,92.550003,92.720001,997600,84.540563
2010-02-05,92.879997,93.120003,90.489998,92.989998,877000,84.786742
2010-02-08,92.989998,93.379997,91.760002,91.760002,633300,83.665252
2010-02-09,92.970001,93.599998,91.580002,93.010002,994900,84.804981
2010-02-10,92.730003,94.309998,92.400002,93.010002,1237200,84.804981
2010-02-11,93.230003,95.730003,91.169998,95.230003,2107900,86.829142
2010-02-12,94.510002,95.919998,93.199997,95.889999,934600,87.430915
2010-02-16,95.980003,96.110001,94.68,95.760002,753400,87.312386
2010-02-17,95.830002,96.25,94.860001,96.18,502500,87.695333
2010-02-18,95.419998,96.529999,94.32,95.029999,560000,86.646781
2010-02-19,94.580002,95.459999,94.5,95.010002,492000,86.628548
2010-02-22,94.839996,94.980003,93.720001,94.510002,535400,86.172656
2010-02-23,94.099998,94.809998,93.129997,93.230003,827100,85.005575
2010-02-24,93.720001,94.900002,93.339996,94.830002,554400,86.464427
2010-02-25,93.82,94.389999,92.699997,94.330002,862400,86.008535
2010-02-26,94.559998,94.559998,93.589996,94.470001,642000,86.136184
2010-03-01,94.989998,97.910004,94.480003,97.800003,835300,89.172425
2010-03-02,97.860001,99.07,97.449997,98.209999,609800,89.546252
2010-03-03,98.18,98.769997,96.980003,97.129997,612300,88.561525
2010-03-04,97.080002,99.0,96.970001,98.75,505000,90.038616
2010-03-05,98.980003,103.190002,98.370003,102.739998,1460100,93.67663
2010-03-08,103.080002,104.230003,102.400002,102.620003,841800,93.567221
2010-03-09,102.559998,102.809998,101.5,102.300003,519400,93.27545
2010-03-10,102.029999,103.510002,101.389999,103.059998,785900,93.968401
2010-03-11,102.720001,104.440002,102.410004,104.440002,552700,95.226666
2010-03-12,104.540001,105.099998,103.830002,104.160004,527000,94.971368
2010-03-15,103.82,104.739998,101.730003,102.059998,794400,93.056617
2010-03-16,101.739998,102.629997,101.349998,102.010002,455200,93.011032
2010-03-17,102.339996,105.239998,102.32,104.459999,614800,95.244899
2010-03-18,104.800003,104.949997,103.470001,103.870003,353200,94.70695
2010-03-19,104.220001,104.589996,102.209999,102.690002,573100,93.631045
2010-03-22,102.300003,102.599998,101.139999,101.949997,930400,92.956321
2010-03-23,101.830002,102.720001,100.82,102.010002,1527000,93.011032
